W/L,Fighter,Method,Round,location,date
win,Pedro Munhoz  Matt Hobar,KO/TKO  Punches,1.0,"Sao Paulo, Brazil","May 31, 2014"
win,Gegard Mousasi  Mark Munoz,SUB  Rear Naked Choke,1.0,"Berlin, Germany","May 31, 2014"
win,CB Dollaway  Francis Carmont,U-DEC,3.0,"Berlin, Germany","May 31, 2014"
win,Sean Strickland  Luke Barnatt,S-DEC,3.0,"Berlin, Germany","May 31, 2014"
win,Niklas Backstrom  Tom Niinimaki,SUB  Rear Naked Choke,1.0,"Berlin, Germany","May 31, 2014"
win,Nick Hein  Drew Dober,U-DEC,3.0,"Berlin, Germany","May 31, 2014"
win,Magnus Cedenblad  Krzysztof Jotko,SUB  Guillotine Choke,2.0,"Berlin, Germany","May 31, 2014"
win,Iuri Alcantara  Vaughan Lee,KO/TKO  Punch,1.0,"Berlin, Germany","May 31, 2014"
win,Peter Sobotta  Pawel Pawlak,U-DEC,3.0,"Berlin, Germany","May 31, 2014"
win,Maximo Blanco  Andy Ogle,U-DEC,3.0,"Berlin, Germany","May 31, 2014"
win,Ruslan Magomedov  Viktor Pesta,U-DEC,3.0,"Berlin, Germany","May 31, 2014"
win,Nate Marquardt  James Te Huna,SUB  Armbar,1.0,"Auckland, New Zealand","June 28, 2014"
win,Jared Rosholt  Soa Palelei,U-DEC,3.0,"Auckland, New Zealand","June 28, 2014"
win,Charles Oliveira  Hatsu Hioki,SUB  Anaconda Choke,2.0,"Auckland, New Zealand","June 28, 2014"
win,Robert Whittaker  Mike Rhodes,U-DEC,3.0,"Auckland, New Zealand","June 28, 2014"
win,Jake Matthews  Dashon Johnson,SUB  Triangle Choke,3.0,"Auckland, New Zealand","June 28, 2014"
win,Richie Vaculik  Roldan Sangcha'an,U-DEC,3.0,"Auckland, New Zealand","June 28, 2014"
win,Vik Grujic  Chris Indich,KO/TKO  Punch,1.0,"Auckland, New Zealand","June 28, 2014"
win,Neil Magny  Rodrigo de Lima,KO/TKO  Punch,2.0,"Auckland, New Zealand","June 28, 2014"
win,Dan Hooker  Ian Entwistle,KO/TKO  Elbows,1.0,"Auckland, New Zealand","June 28, 2014"
win,Gian Villante  Sean O'Connell,S-DEC,3.0,"Auckland, New Zealand","June 28, 2014"
win,Chris Weidman  Lyoto Machida,U-DEC,5.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Ronda Rousey  Alexis Davis,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Uriah Hall  Thiago Santos,U-DEC,3.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Russell Doane  Marcus Brimage,S-DEC,3.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Urijah Faber  Alex Caceres,SUB  Rear Naked Choke,3.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Kenny Robertson  Ildemar Alcantara,U-DEC,3.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Bruno Santos  Chris Camozzi,S-DEC,3.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Rob Font  George Roop,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Luke Zachrich  Guilherme Vasconcelos,U-DEC,3.0,"Las Vegas, Nevada, USA","July 05, 2014"
nc  nc,Kevin Casey  Bubba Bush,Overturned  Elbows,1.0,"Las Vegas, Nevada, USA","July 05, 2014"
win,Demetrious Johnson  Ali Bagautinov,U-DEC,5.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Rory MacDonald  Tyron Woodley,U-DEC,3.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Ryan Bader  Rafael Cavalcante,U-DEC,3.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Andrei Arlovski  Brendan Schaub,S-DEC,3.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Ovince Saint Preux  Ryan Jimmo,KO/TKO,2.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Kiichi Kunimoto  Daniel Sarafian,SUB  Rear Naked Choke,1.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Valerie Letourneau  Elizabeth Phillips,S-DEC,3.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Yves Jabouin  Mike Easton,U-DEC,3.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Tae Hyun Bang  Kajan Johnson,KO/TKO  Punch,3.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Michinori Tanaka  Roland Delorme,U-DEC,3.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Jason Saggo  Josh Shockley,KO/TKO  Punches,1.0,"Vancouver, British Columbia, Canada","June 14, 2014"
win,Frankie Edgar  BJ Penn,KO/TKO  Punches,3.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Corey Anderson  Matt Van Buren,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Eddie Gordon  Dhiego Lima,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Derrick Lewis  Guto Inocente,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Dustin Ortiz  Justin Scoggins,S-DEC,3.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Kevin Lee  Jesse Ronson,S-DEC,3.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Leandro Issa  Jumabieke Tuerxun,SUB  Armbar,3.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Adriano Martins  Juan Manuel Puig,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Patrick Walsh  Daniel Spohn,U-DEC,3.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Sarah Moras  Alexis Dufresne,U-DEC,3.0,"Las Vegas, Nevada, USA","July 06, 2014"
nc  nc,Robert Drysdale  Keith Berish,Overturned,1.0,"Las Vegas, Nevada, USA","July 06, 2014"
win,Conor McGregor  Diego Brandao,KO/TKO  Punch,1.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Gunnar Nelson  Zak Cummings,SUB  Rear Naked Choke,2.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Ian McCall  Brad Pickett,U-DEC,3.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Norman Parke  Naoyuki Kotani,KO/TKO  Punches,2.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Ilir Latifi  Chris Dempsey,KO/TKO  Punch,1.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Neil Seery  Phil Harris,U-DEC,3.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Cathal Pendred  Mike King,SUB  Rear Naked Choke,2.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Trevor Smith  Tor Troeng,U-DEC,3.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Nikita Krylov  Cody Donovan,KO/TKO  Punches,1.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Paddy Holohan  Josh Sampo,SUB  Rear Naked Choke,1.0,"Dublin, Leinster, Ireland","July 19, 2014"
win,Donald Cerrone  Jim Miller,KO/TKO  Kick,2.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Edson Barboza  Evan Dunham,KO/TKO  Kick,1.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Rick Story  Leonardo Mafra,SUB  Arm Triangle,2.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Joe Proctor  Justin Salas,KO/TKO  Punch,2.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,John Lineker  Alptekin Ozkilic,KO/TKO  Punch,3.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Lucas Martins  Alex White,KO/TKO  Punch,3.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Gleison Tibau  Pat Healy,U-DEC,3.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Leslie Smith  Jessamyn Duke,KO/TKO  Punch,1.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Aljamain Sterling  Hugo Viana,KO/TKO  Punches,3.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Yosdenis Cedeno  Jerrod Sanders,KO/TKO,1.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Claudia Gadelha  Tina Lahdemaki,U-DEC,3.0,"Atlantic City, New Jersey, USA","July 16, 2014"
win,Cub Swanson  Jeremy Stephens,U-DEC,5.0,"San Antonio, Texas, USA","June 28, 2014"
win,Kelvin Gastelum  Nicholas Musoke,U-DEC,3.0,"San Antonio, Texas, USA","June 28, 2014"
win,Cezar Ferreira  Andrew Craig,U-DEC,3.0,"San Antonio, Texas, USA","June 28, 2014"
win,Ricardo Lamas  Hacran Dias,U-DEC,3.0,"San Antonio, Texas, USA","June 28, 2014"
win,Clint Hester  Antonio Braga Neto,S-DEC,3.0,"San Antonio, Texas, USA","June 28, 2014"
win,Joe Ellenberger  James Moontasri,S-DEC,3.0,"San Antonio, Texas, USA","June 28, 2014"
win,Diego Ferreira  Colton Smith,SUB  Rear Naked Choke,1.0,"San Antonio, Texas, USA","June 28, 2014"
win,Cody Gibson  Johnny Bedford,KO/TKO  Punch,1.0,"San Antonio, Texas, USA","June 28, 2014"
win,Marcelo Guimaraes  Andy Enz,S-DEC,3.0,"San Antonio, Texas, USA","June 28, 2014"
win,Ray Borg  Shane Howell,SUB  Rear Naked Choke,1.0,"San Antonio, Texas, USA","June 28, 2014"
win,Aleksei Oleinik  Anthony Hamilton,SUB  Scarf Hold,1.0,"San Antonio, Texas, USA","June 28, 2014"
win,Robbie Lawler  Matt Brown,U-DEC,5.0,"San Jose, California, USA","July 26, 2014"
win,Anthony Johnson  Rogerio Nogueira,KO/TKO  Punch,1.0,"San Jose, California, USA","July 26, 2014"
win,Dennis Bermudez  Clay Guida,SUB  Rear Naked Choke,2.0,"San Jose, California, USA","July 26, 2014"
win,Bobby Green  Josh Thomson,S-DEC,3.0,"San Jose, California, USA","July 26, 2014"
win,Jorge Masvidal  Daron Cruickshank,U-DEC,3.0,"San Jose, California, USA","July 26, 2014"
win,Patrick Cummins  Kyle Kingsbury,U-DEC,3.0,"San Jose, California, USA","July 26, 2014"
win,Tim Means  Hernani Perpetuo,U-DEC,3.0,"San Jose, California, USA","July 26, 2014"
nc  nc,Mike de la Torre  Brian Ortega,Overturned,1.0,"San Jose, California, USA","July 26, 2014"
win,Tiago dos Santos e Silva  Akbarh Arreola,U-DEC,3.0,"San Jose, California, USA","July 26, 2014"
win,Gilbert Burns  Andreas Stahl,U-DEC,3.0,"San Jose, California, USA","July 26, 2014"
win,Joanna Jedrzejczyk  Juliana Lima,U-DEC,3.0,"San Jose, California, USA","July 26, 2014"
win,Noad Lahat  Steven Siler,U-DEC,3.0,"San Jose, California, USA","July 26, 2014"
win,TJ Dillashaw  Joe Soto,KO/TKO  Kick,5.0,"Sacramento, California, USA","August 30, 2014"
win,Tony Ferguson  Danny Castillo,S-DEC,3.0,"Sacramento, California, USA","August 30, 2014"
win,Bethe Correia  Shayna Baszler,KO/TKO  Punches,2.0,"Sacramento, California, USA","August 30, 2014"
win,Diego Ferreira  Ramsey Nijem,KO/TKO  Punch,2.0,"Sacramento, California, USA","August 30, 2014"
win,Yancy Medeiros  Damon Jackson,SUB  Bulldog Choke,2.0,"Sacramento, California, USA","August 30, 2014"
win,Derek Brunson  Lorenz Larkin,U-DEC,3.0,"Sacramento, California, USA","August 30, 2014"
win,Anthony Hamilton  Ruan Potts,KO/TKO  Punches,2.0,"Sacramento, California, USA","August 30, 2014"
win,Chris Wade  Cain Carrizosa,SUB  Guillotine Choke,1.0,"Sacramento, California, USA","August 30, 2014"
win,Michael Bisping  Cung Le,KO/TKO  Knee,4.0,"Macau, China","August 23, 2014"
win,Tyron Woodley  Dong Hyun Kim,KO/TKO  Punch,1.0,"Macau, China","August 23, 2014"
win,Zhang Lipeng  Brendan O'Reilly,U-DEC,3.0,"Macau, China","August 23, 2014"
win,Guangyou Ning  Jianping Yang,U-DEC,3.0,"Macau, China","August 23, 2014"
win,Sai Wang  Danny Mitchell,U-DEC,3.0,"Macau, China","August 23, 2014"
win,Alberto Mina  Shinsho Anzai,KO/TKO  Punch,1.0,"Macau, China","August 23, 2014"
win,Yuta Sasaki  Roland Delorme,SUB  Rear Naked Choke,1.0,"Macau, China","August 23, 2014"
win,Colby Covington  Anying Wang,KO/TKO  Punches,1.0,"Macau, China","August 23, 2014"
win,Royston Wee  Yao Zhikui,S-DEC,3.0,"Macau, China","August 23, 2014"
win,Milana Dudieva  Elizabeth Phillips,S-DEC,3.0,"Macau, China","August 23, 2014"
win,Ryan Bader  Ovince Saint Preux,U-DEC,5.0,"Bangor, Maine, USA","August 16, 2014"
win,Ross Pearson  Gray Maynard,KO/TKO  Punch,2.0,"Bangor, Maine, USA","August 16, 2014"
win,Tim Boetsch  Brad Tavares,KO/TKO  Punch,2.0,"Bangor, Maine, USA","August 16, 2014"
win,Alan Jouban  Seth Baczynski,KO/TKO  Punch,1.0,"Bangor, Maine, USA","August 16, 2014"
win,Shawn Jordan  Jack May,KO/TKO  Punches,3.0,"Bangor, Maine, USA","August 16, 2014"
win,Thiago Tavares  Robert Peralta,SUB  Rear Naked Choke,1.0,"Bangor, Maine, USA","August 16, 2014"
win,Jussier Formiga  Zach Makovsky,U-DEC,3.0,"Bangor, Maine, USA","August 16, 2014"
win,Sara McMann  Lauren Murphy,S-DEC,3.0,"Bangor, Maine, USA","August 16, 2014"
win,Tom Watson  Sam Alvey,U-DEC,3.0,"Bangor, Maine, USA","August 16, 2014"
win,Frankie Saenz  Nolan Ticman,U-DEC,3.0,"Bangor, Maine, USA","August 16, 2014"
win,Rafael Dos Anjos  Benson Henderson,KO/TKO  Punch,1.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Jordan Mein  Mike Pyle,KO/TKO  Punch,1.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Thales Leites  Francis Carmont,KO/TKO  Punch,2.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Max Holloway  Clay Collard,KO/TKO  Punches,3.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,James Vick  Valmir Lazaro,U-DEC,3.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Chas Skelly  Tom Niinimaki,SUB  Rear Naked Choke,1.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Neil Magny  Alex Garcia,U-DEC,3.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Beneil Dariush  Anthony Rocco Martin,SUB  Arm Triangle,2.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Matt Hobar  Aaron Phillips,U-DEC,3.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Ben Saunders  Chris Heatherly,SUB  Omoplata,1.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Wilson Reis  Joby Sanchez,U-DEC,3.0,"Tulsa, Oklahoma, USA","August 23, 2014"
win,Jacare Souza  Gegard Mousasi,SUB  Guillotine Choke,3.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,Ben Rothwell  Alistair Overeem,KO/TKO  Punch,1.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,Matt Mitrione  Derrick Lewis,KO/TKO  Punches,1.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,Joe Lauzon  Michael Chiesa,KO/TKO,2.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,John Moraga  Justin Scoggins,SUB  Guillotine Choke,2.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,Al Iaquinta  Rodrigo Damm,KO/TKO  Elbows,3.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,Rafael Natal  Chris Camozzi,S-DEC,3.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,Chris Beal  Tateki Matsuda,U-DEC,3.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,Chas Skelly  Sean Soriano,U-DEC,3.0,"Ledyard, Connecticut, USA","September 05, 2014"
win,Andrei Arlovski  Antonio Silva,KO/TKO  Punch,1.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Gleison Tibau  Piotr Hallmann,S-DEC,3.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Leonardo Santos  Efrain Escudero,U-DEC,3.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Santiago Ponzinibbio  Wendell Oliveira Marques,KO/TKO  Punches,1.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Iuri Alcantara  Russell Doane,U-DEC,3.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Jessica Andrade  Larissa Pacheco,SUB  Guillotine Choke,1.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Godofredo Pepey  Dashon Johnson,SUB  Armbar,1.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,George Sullivan  Igor Araujo,KO/TKO  Punch,2.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Francisco Trinaldo  Leandro Silva,U-DEC,3.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Sean Spencer  Paulo Thiago,U-DEC,3.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Rani Yahya  Johnny Bedford,SUB  Kimura,2.0,"Brasilia, Distrito Federal, Brazil","September 13, 2014"
win,Demetrious Johnson  Chris Cariaso,SUB  Kimura,2.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Donald Cerrone  Eddie Alvarez,U-DEC,3.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Conor McGregor  Dustin Poirier,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Yoel Romero  Tim Kennedy,KO/TKO  Punch,3.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Cat Zingano  Amanda Nunes,KO/TKO  Punches,3.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Dominick Cruz  Takeya Mizugaki,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Jorge Masvidal  James Krause,U-DEC,3.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Stephen Thompson  Patrick Cote,U-DEC,3.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Brian Ebersole  John Howard,S-DEC,3.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Kevin Lee  Jon Tuck,U-DEC,3.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Manvel Gamburyan  Cody Gibson,SUB  Guillotine Choke,2.0,"Las Vegas, Nevada, USA","September 27, 2014"
win,Mark Hunt  Roy Nelson,KO/TKO  Punch,2.0,"Saitama, Japan","September 20, 2014"
win,Myles Jury  Takanori Gomi,KO/TKO  Punch,1.0,"Saitama, Japan","September 20, 2014"
win,Yoshihiro Akiyama  Amir Sadollah,U-DEC,3.0,"Saitama, Japan","September 20, 2014"
win,Miesha Tate  Rin Nakai,U-DEC,3.0,"Saitama, Japan","September 20, 2014"
win,Kiichi Kunimoto  Richard Walsh,S-DEC,3.0,"Saitama, Japan","September 20, 2014"
win,Kyoji Horiguchi  Jon Delos Reyes,KO/TKO  Punches,1.0,"Saitama, Japan","September 20, 2014"
win,Masanori Kanehara  Alex Caceres,U-DEC,3.0,"Saitama, Japan","September 20, 2014"
win,Katsunori Kikuno  Sam Sicilia,SUB  Rear Naked Choke,2.0,"Saitama, Japan","September 20, 2014"
win,Hyun Gyu Lim  Takenori Sato,KO/TKO  Elbows,1.0,"Saitama, Japan","September 20, 2014"
win,Kyung Ho Kang  Michinori Tanaka,S-DEC,3.0,"Saitama, Japan","September 20, 2014"
win,Johnny Case  Kazuki Tokudome,SUB  Guillotine Choke,2.0,"Saitama, Japan","September 20, 2014"
win,Maximo Blanco  Dan Hooker,U-DEC,3.0,"Saitama, Japan","September 20, 2014"
win,Rick Story  Gunnar Nelson,S-DEC,5.0,"Stockholm, Sweden","October 04, 2014"
win,Max Holloway  Akira Corassani,KO/TKO  Punch,1.0,"Stockholm, Sweden","October 04, 2014"
win,Jan Blachowicz  Ilir Latifi,KO/TKO  Kick,1.0,"Stockholm, Sweden","October 04, 2014"
win,Mike Wilkinson  Niklas Backstrom,KO/TKO  Punch,1.0,"Stockholm, Sweden","October 04, 2014"
win,Magnus Cedenblad  Scott Askham,U-DEC,3.0,"Stockholm, Sweden","October 04, 2014"
win,Nicholas Musoke  Alexander Yakovlev,U-DEC,3.0,"Stockholm, Sweden","October 04, 2014"
win,Dennis Siver  Charles Rosa,U-DEC,3.0,"Stockholm, Sweden","October 04, 2014"
win,Cathal Pendred  Gasan Umalatov,S-DEC,3.0,"Stockholm, Sweden","October 04, 2014"
win,Krzysztof Jotko  Tor Troeng,U-DEC,3.0,"Stockholm, Sweden","October 04, 2014"
win,Mairbek Taisumov  Marcin Bandel,KO/TKO  Punch,1.0,"Stockholm, Sweden","October 04, 2014"
win,Zubaira Tukhugov  Ernest Chavez,KO/TKO  Punches,1.0,"Stockholm, Sweden","October 04, 2014"
win,Rory MacDonald  Tarec Saffiedine,KO/TKO  Punch,3.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Raphael Assuncao  Bryan Caraway,U-DEC,3.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Chad Laprise  Yosdenis Cedeno,U-DEC,3.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Elias Theodorou  Bruno Santos,U-DEC,3.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Nordine Taleb  Li Jingliang,S-DEC,3.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Mitch Gagnon  Roman Salazar,SUB  Rear Naked Choke,1.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Daron Cruickshank  Anthony Njokuani,U-DEC,3.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Olivier Aubin-Mercier  Jake Lindsey,SUB  Inverted Triangle,2.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Paul Felder  Jason Saggo,S-DEC,3.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Chris Kelades  Paddy Holohan,U-DEC,3.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Albert Tumenov  Matt Dwyer,KO/TKO  Kick,1.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
nc  nc,Pedro Munhoz  Jerrod Sanders,Overturned  Guillotine Choke,1.0,"Halifax, Nova Scotia, Canada","October 04, 2014"
win,Jose Aldo  Chad Mendes,U-DEC,5.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Phil Davis  Glover Teixeira,U-DEC,3.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Fabio Maldonado  Hans Stringer,KO/TKO  Punches,2.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Darren Elkins  Lucas Martins,S-DEC,3.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Beneil Dariush  Diego Ferreira,U-DEC,3.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Neil Magny  William Macario,KO/TKO  Punches,3.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Yan Cabral  Naoyuki Kotani,SUB  Rear Naked Choke,2.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Wilson Reis  Scott Jorgensen,SUB  Arm Triangle,1.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Andre Fili  Felipe Arantes,U-DEC,3.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Gilbert Burns  Christos Giagos,SUB  Armbar,1.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Anthony Rocco Martin  Fabricio Camoes,SUB  Kimura,1.0,"Rio de Janeiro, Brazil","October 25, 2014"
win,Luke Rockhold  Michael Bisping,SUB  Guillotine Choke,2.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Al Iaquinta  Ross Pearson,KO/TKO  Punch,2.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Robert Whittaker  Clint Hester,KO/TKO  Knee,2.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Soa Palelei  Walt Harris,KO/TKO  Punches,2.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Jake Matthews  Vagner Rocha,SUB  Rear Naked Choke,2.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Anthony Perosh  Guto Inocente,SUB  Rear Naked Choke,1.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Sam Alvey  Dylan Andrews,KO/TKO  Punches,1.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Louis Smolka  Richie Vaculik,KO/TKO  Kick,3.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Chris Clements  Vik Grujic,KO/TKO  Knee,1.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Daniel Kelly  Luke Zachrich,SUB  Kimura,1.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Marcus Brimage  Jumabieke Tuerxun,KO/TKO  Kick,1.0,"Sydney, New South Wales, Australia","November 07, 2014"
win,Ovince Saint Preux  Mauricio Rua,KO/TKO  Punch,1.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Warlley Alves  Alan Jouban,U-DEC,3.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Claudio Silva  Leon Edwards,S-DEC,3.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Dhiego Lima  Jorge de Oliveira,U-DEC,3.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Juliana Lima  Nina Nunes,U-DEC,3.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Diego Rivas  Rodolfo Rubio Perez,U-DEC,3.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Caio Magalhaes  Trevor Smith,KO/TKO  Punch,1.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Leandro Silva  Charlie Brenneman,SUB  Rear Naked Choke,1.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Thomas Almeida  Tim Gorman,U-DEC,3.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Colby Covington  Wagner Silva,SUB  Rear Naked Choke,3.0,"Uberlandia, Minas Gerais, Brazil","November 08, 2014"
win,Fabricio Werdum  Mark Hunt,KO/TKO  Flying Knee,2.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Kelvin Gastelum  Jake Ellenberger,SUB  Rear Naked Choke,1.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Ricardo Lamas  Dennis Bermudez,SUB  Guillotine Choke,1.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Augusto Montano  Chris Heatherly,KO/TKO  Knees,1.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Hector Urbina  Edgar Garcia,SUB  Guillotine Choke,1.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Yair Rodriguez  Leonardo Morales,U-DEC,3.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Alejandro Perez  Jose Quinonez,U-DEC,3.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Jessica Eye  Leslie Smith,KO/TKO,2.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Gabriel Benitez  Humberto Brown Morrison,SUB  Guillotine Choke,3.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Henry Briones  Guido Cannetti,SUB  Rear Naked Choke,2.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Marco Beltran  Marlon Vera,U-DEC,3.0,"Mexico City, Distrito Federal, Mexico","November 15, 2014"
win,Robbie Lawler  Johny Hendricks,S-DEC,5.0,"Las Vegas, Nevada, USA","December 06, 2014"
