date,location,link
"February 04, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/977081bc01197656
"November 19, 2005","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c7e9d15cfce52f1d
"March 04, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/0e9869d712e81f8f
"April 06, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/b361180739bed4b0
"April 15, 2006","Anaheim, California, USA",http://www.ufcstats.com/event-details/03688dc3c3af3ac1
"June 24, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/1dab0d1d81dd06db
"May 27, 2006","Los Angeles, California, USA",http://www.ufcstats.com/event-details/a54a35a670d8e852
"June 28, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/445a98acb8985970
"September 23, 2006","Anaheim, California, USA",http://www.ufcstats.com/event-details/13e62d766b709aa6
"July 08, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/f70144caea5c4c80
"August 17, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/46c8ec317aff28ac
"October 10, 2006","Hollywood, Florida, USA",http://www.ufcstats.com/event-details/577ec7e108b94be3
"August 26, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/f717b6002486f73f
"December 13, 2006","San Diego, California, USA",http://www.ufcstats.com/event-details/21b8a0f5c231096f
"November 18, 2006","Sacramento, California, USA",http://www.ufcstats.com/event-details/3fed746acfd026dd
"October 14, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/13b2f59210dda9cc
"November 11, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/baf942f4bcb09894
"December 30, 2006","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/ee5df903f80c6816
"January 25, 2007","Hollywood, Florida, USA",http://www.ufcstats.com/event-details/13c4313ed0f744f3
"March 03, 2007","Columbus, Ohio, USA",http://www.ufcstats.com/event-details/de3ed2e152520c8d
"February 03, 2007","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/63b65af1c5cb02cb
"April 05, 2007","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/a6c2f5381d575920
"April 07, 2007","Houston, Texas, USA",http://www.ufcstats.com/event-details/c1684f00c626f4c0
"June 12, 2007","Hollywood, Florida, USA",http://www.ufcstats.com/event-details/304fcd812f12c589
"April 21, 2007","Manchester, England, United Kingdom",http://www.ufcstats.com/event-details/4604ab1de9058474
"May 26, 2007","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/2e04a3b4a2011b97
"June 23, 2007","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/e7ec11096eac0282
"September 19, 2007","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/f341f9551ba744e2
"August 25, 2007","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/a5c53b3ddb31cc7d
"June 16, 2007","Belfast, Northern Ireland, United Kingdom",http://www.ufcstats.com/event-details/5ca158b1cc9cb242
"July 07, 2007","Sacramento, California, USA",http://www.ufcstats.com/event-details/2a6f8136da1e52c0
"September 08, 2007","London, England, United Kingdom",http://www.ufcstats.com/event-details/0aa92558424ced9e
