date,location,poss_winner,poss_loser
"5' 5""",125 lbs.,Alptekin Ozkilic,Ben Nguyen
"5' 4""",125 lbs.,Josh Sampo,Justin Scoggins
"5' 11""",155 lbs.,Tony Sims,Abel Trujillo
"December 19, 2009","Las Vegas, Nevada, USA",Donald Cerrone,Ed Ratcliff
"5' 4""",125 lbs.,Wilson Reis,Alexandre Pantoja
"5' 10""",155 lbs.,Thibault Gouti,Nasrat Haqparast
"5' 7""",125 lbs.,Justin Scoggins,Said Nurmagomedov
"5' 5""",125 lbs.,Dustin Ortiz,Joseph Benavidez
"5' 11""",185 lbs.,Henrique Shiguemoto,Aliaskhab Khizriev
"5' 8""",135 lbs.,Ronnie Lawrence,Saidyokub Kakhramonov
"5' 10""",155 lbs.,Cody Pfister,Scott Holtzman
"5' 5""",135 lbs.,Khalid Taha,Sergey Morozov
"5' 9""",135 lbs.,Randy Costa,Tony Kelley
"February 10, 2007","San Jose, California, USA",Jose Palacios,Miguel Linares
"5' 5""",135 lbs.,Mitch Gagnon,Cole Smith
"5' 10""",185 lbs.,Charles Byrd,Maki Pitolo
--,135 lbs.,Andrew Valladerez,Darren Uyenoyama
"June 22, 2007","San Jose, California, USA",David Smith,Sean Bassett
"5' 4""",125 lbs.,Zach Makovsky,Dustin Ortiz
"5' 9""",125 lbs.,Marcos Vinicius,Ali Bagautinov
"5' 5""",125 lbs.,Ryan Benoit,Zarrukh Adashev
"5' 8""",135 lbs.,John Albert,Yaotzin Meza
"6' 4""",185 lbs.,Steve Montgomery,Daniel Kelly
"5' 8""",135 lbs.,Said Nurmagomedov,Douglas Silva de Andrade
"5' 4""",125 lbs.,Joseph Benavidez,Askar Askarov
"6' 1""",155 lbs.,Teemu Packalen,Ottman Azaitar
"5' 2""",125 lbs.,Hector Sandoval,Dustin Ortiz
"5' 8""",155 lbs.,Yosdenis Cedeno,Cody Pfister
"5' 11""",155 lbs.,Andrew Holbrook,Thibault Gouti
"April 17, 2010","Nashville, Tennessee, USA",Jake Shields,Dan Henderson
"5' 8""",145 lbs.,Nad Narimani,Grant Dawson
"5' 9""",135 lbs.,Tony Kelley,Adrian Yanez
"5' 5""",135 lbs.,Journey Newson,Fernie Garcia
"5' 6""",145 lbs.,Wagner Campos,Marcos Vinicius
"5' 7""",135 lbs.,Roman Salazar,Marlon Vera
"5' 5""",135 lbs.,Tim Gorman,Thomas Almeida
"5' 8""",135 lbs.,Bryan Caraway,Pedro Munhoz
"5' 11""",185 lbs.,Sam Spengler,Joey Armstrong
"5' 10""",135 lbs.,Johnny Bedford,Rani Yahya
"6' 2""",185 lbs.,Seth Kleinbeck,Kyle Noke
"5' 3""",125 lbs.,Fredy Serrano,Hector Sandoval
"5' 11""",155 lbs.,Mickael Lebout,Stevie Ray
"5' 8""",155 lbs.,Ottman Azaitar,Khama Worthy
"6' 3""",246 lbs.,Ray Seraille,Rex Richards
"April 05, 2009","Chicago, Illinois, USA",Miguel Torres,Takeya Mizugaki
"December 03, 2008","Las Vegas, Nevada, USA",Miguel Torres,Manny Tapia
--,135 lbs.,Junya Kudo,Joseph Benavidez
"5' 6""",135 lbs.,Jeff Curran,Johnny Eduardo
"5' 11""",155 lbs.,Ramsey Nijem,Andrew Holbrook
"6' 0""",135 lbs.,Domingo Pilarte,Brian Kelleher
"5' 6""",135 lbs.,Ali AlQaisi,Tony Kelley
"5' 7""",135 lbs.,Fernie Garcia,Journey Newson
--,--,Cody Floyd,Thomas Campbell
"5' 5""",135 lbs.,Anderson Dos Santos,Miles Johns
"5' 10""",135 lbs.,Cody Gibson,Douglas Silva de Andrade
--,--,Thomas Campbell,Jeremy Wallace
"June 19, 2009","Kent, Washington, USA",Joey Villasenor,Evangelista Santos
"5' 10""",185 lbs.,Frank Megallon,Sam Spengler
"October 07, 2006","Fresno, California, USA",Paul Buentello,David Abbott
"6' 0""",170 lbs.,Sergio Moraes,James Krause
"November 10, 2007","Corpus Christi, Texas, USA",KJ Noons,Nick Diaz
"5' 10""",155 lbs.,Stevie Ray,Michael Johnson
"5' 4""",125 lbs.,Bentley Syler,Fredy Serrano
--,--,Joey Armstrong,Sam Spengler
"5' 5""",125 lbs.,Yao Zhikui,Jenel Lausa
"July 17, 2018","Las Vegas, Nevada, USA",Maycee Barber,Jamie Colleen
"6' 0""",155 lbs.,CJ Keith,Francisco Trinaldo
"5' 9""",145 lbs.,Mike Budnik,Rafael Dias
"5' 6""",135 lbs.,Brian Kelleher,Mario Bautista
"October 05, 2021","Las Vegas, Nevada, USA",Mike Malott,Shimon Smotritsky
"5' 10""",145 lbs.,Myles Jury,Andre Fili
"5' 10""",145 lbs.,Martin Day,Timur Valiev
"5' 7""",135 lbs.,Miles Johns,John Castaneda
"5' 8""",135 lbs.,Joshua Weems,Fernie Garcia
"5' 9""",--,Jeremy Wallace,Thomas Campbell
"5' 11""",170 lbs.,Taylor Roberts,Steve Hadsel
"5' 5""",135 lbs.,Manvel Gamburyan,Johnny Eduardo
"6' 1""",185 lbs.,Cezar Ferreira,Marvin Vettori
"6' 3""",250 lbs.,Jonathan Wiezorek,Antonio Silva
"5' 7""",155 lbs.,Renee Forte,Francisco Trevino
"5' 10""",155 lbs.,Marcin Bandel,Stevie Ray
"5' 6""",125 lbs.,Nolan Ticman,Yao Zhikui
"6' 0""",170 lbs.,Luan Chagas,Siyar Bahadurzada
"5' 11""",170 lbs.,Angelo Trevino,Austin Vanderford
"5' 11""",170 lbs.,Austin Vanderford,Angelo Trevino
