date,location,poss_winner,poss_loser
--,170 lbs.,Brandon Magana,Brandon Thatch
"5' 11""",155 lbs.,Brian Cobb,Terry Etim
"6' 0""",155 lbs.,Justin Buchholz,Mac Danzig
"5' 9""",155 lbs.,Rich Clementi,Shinya Aoki
--,155 lbs.,Edward Faaloloto,Terry Etim
"6' 3""",170 lbs.,Dorian Price,Roman Mitichyan
"5' 10""",155 lbs.,Shannon Gugerty,Clay Guida
"December 15, 2002","Bernalillo, New Mexico, USA",Keith Jardine,Bryan Pardoe
"5' 9""",155 lbs.,Sam Stout,Frankie Perez
"5' 9""",190 lbs.,Shannon Ritch,Diego Sanchez
"5' 8""",155 lbs.,Rafael Dos Anjos,Rafael Fiziev
"6' 3""",205 lbs.,Khadis Ibragimov,Danilo Marques
"May 02, 2003","Tokyo, Japan",Lyoto Machida,Kengo Watanabe
"March 14, 2004","Niigata, Japan",Lyoto Machida,Michael McDonald
"6' 4""",220 lbs.,Kengo Watanabe,Lyoto Machida
--,205 lbs.,Miika Mehmet,Michael Bisping
"5' 11""",205 lbs.,Michael McDonald,Lyoto Machida
"July 16, 2005","Coventry, England, United Kingdom",Michael Bisping,Miika Mehmet
"October 01, 2005","Coventry, England, United Kingdom",Michael Bisping,Jakob Lovstad
"6' 3""",205 lbs.,Jakob Lovstad,Michael Bisping
"April 29, 2006","Manaus, Amazonas, Brazil",Lyoto Machida,Dimitiri Wanderley
"May 22, 2004","Saitama, Japan",Lyoto Machida,Sam Greco
"6' 2""",205 lbs.,Sam Greco,Lyoto Machida
--,205 lbs.,Dimitiri Wanderley,Lyoto Machida
"June 12, 2004","San Jacinto, California, USA",Diego Sanchez,Jorge Santiago
"5' 8""",170 lbs.,Rene Kronvold,Diego Sanchez
"June 14, 2003","Albuquerque, New Mexico, USA",Keith Jardine,George Allen
"6' 1""",170 lbs.,Brian Gassaway,John Alessio
"6' 1""",205 lbs.,Jimi Manuwa,Aleksandar Rakic
"6' 2""",205 lbs.,Jan Blachowicz,Aleksandar Rakic
"6' 4""",205 lbs.,Aleksandar Rakic,Jan Blachowicz
"5' 10""",155 lbs.,Per Eklund,Evan Dunham
"August 06, 2022","Las Vegas, Nevada, USA",Thiago Santos,Jamahal Hill
"6' 2""",205 lbs.,Glover Teixeira,Jiri Prochazka
"5' 10""",145 lbs.,Kenny Florian,Jose Aldo
"6' 4""",205 lbs.,Jon Jones,Dominick Reyes
"6' 6""",205 lbs.,Johnny Walker,Jamahal Hill
"5' 10""",170 lbs.,Karo Parisyan,Dennis Hallman
"5' 10""",170 lbs.,Josh Koscheck,Erick Silva
"5' 7""",145 lbs.,Joe Stevenson,Javier Vazquez
"5' 9""",155 lbs.,BJ Penn,Clay Guida
"5' 8""",170 lbs.,Luigi Fioravanti,Anthony Johnson
"5' 10""",155 lbs.,David Bielkheden,Mark Bocek
"5' 11""",170 lbs.,Paulo Thiago,Sean Spencer
"6' 0""",185 lbs.,Joe Riggs,Chris Camozzi
"6' 1""",170 lbs.,John Hathaway,Dong Hyun Kim
"6' 2""",170 lbs.,Mickey Gall,Mike Malott
"6' 0""",170 lbs.,Martin Kampmann,Carlos Condit
"6' 1""",170 lbs.,Michael Chiesa,Sean Brady
"6' 0""",185 lbs.,Rafael Natal,Eryk Anders
"6' 1""",185 lbs.,Ronny Markes,Thiago Santos
--,--,Bobby McAndrews,Kenny Florian
"February 21, 2004","Boston, Massachusetts, USA",Kenny Florian,Bobby McAndrews
"June 07, 2002","Lemoore, California, USA",Eric Schwartz,Glover Teixeira
"5' 8""",145 lbs.,Ricardo Lamas,Bill Algeo
"June 01, 1999","Littleton, Colorado, USA",Jens Pulver,Joe Stevenson
--,205 lbs.,Eric Schwartz,Glover Teixeira
"October 30, 1999","San Jacinto, California, USA",Chris Brennan,Joe Stevenson
"5' 11""",185 lbs.,Solomon Hutcherson,Luigi Fioravanti
"5' 11""",155 lbs.,Joey Gilbert,BJ Penn
"October 10, 2003","Honolulu, Hawaii, USA",BJ Penn,Takanori Gomi
"5' 6""",155 lbs.,Paul Creighton,BJ Penn
"5' 11""",170 lbs.,Tom Egan,John Hathaway
"5' 9""",155 lbs.,Joe Camacho,Joe Stevenson
"February 20, 2004","San Jacinto, California, USA",Joe Stevenson,Joe Camacho
"5' 9""",170 lbs.,Alexandre Barros,Martin Kampmann
"6' 2""",170 lbs.,Mike Jackson,Dean Barry
"6' 0""",170 lbs.,Kris McCray,John Hathaway
"5' 11""",185 lbs.,Chris Sanford,Josh Koscheck
"6' 0""",185 lbs.,Jesse Bongfeldt,Chris Weidman
"6' 1""",170 lbs.,CM Punk,Mike Jackson
"5' 11""",155 lbs.,Erick Gonzalez,Jim Miller
"6' 2""",205 lbs.,Shamil Gamzatov,Michal Oleksiejczuk
"6' 0""",170 lbs.,Jeff Joslin,Josh Koscheck
"5' 5""",145 lbs.,Bendy Casimir,Erik Koch
"5' 8""",155 lbs.,Samy Schiavo,Per Eklund
"5' 8""",155 lbs.,Hacran Dias,Jared Gordon
"6' 6""",185 lbs.,Luke Barnatt,Mark Munoz
"6' 0""",170 lbs.,Lyman Good,Belal Muhammad
"5' 10""",185 lbs.,Antonio Dos Santos,Scott Askham
"5' 11""",185 lbs.,Chris Leben,Uriah Hall
"5' 7""",145 lbs.,Zach Zane,Justin Gonzales
"6' 0""",170 lbs.,Michael Lombardo,Korey Kuppe
"5' 9""",145 lbs.,Justin Gonzales,Zach Zane
"6' 2""",205 lbs.,Alton Cunningham,Tony Johnson
"5' 10""",170 lbs.,Dean Barry,Mike Jackson
"5' 10""",170 lbs.,Carlos Eduardo Rocha,Mike Pierce
"5' 10""",155 lbs.,Gleison Tibau,Desmond Green
"June 07, 2009","Sacramento, California, USA",Mike Brown,Urijah Faber
"6' 0""",185 lbs.,Nate Marquardt,Cezar Ferreira
"5' 7""",145 lbs.,Thiago Tavares,Dooho Choi
"5' 11""",185 lbs.,Ian Heinisch,Nassourdine Imavov
"5' 8""",145 lbs.,Levan Makashvili,Damon Jackson
"6' 0""",205 lbs.,Klidson Abreu,Jamahal Hill
"November 18, 2009","Las Vegas, Nevada, USA",Jose Aldo,Mike Brown
"October 17, 2003","Lemoore, California, USA",Chris Leben,Brian Sleeman
"5' 10""",185 lbs.,Jason Thacker,Chris Leben
"July 09, 2005","Hull, Quebec, Canada",Jon Fitch,Jeff Joslin
"5' 8""",185 lbs.,Brian Sleeman,Chris Leben
"6' 1""",185 lbs.,Collin Hart,Luke Barnatt
"5' 6""",145 lbs.,Tyson Griffin,Bart Palaszewski
"6' 1""",170 lbs.,Mats Nilsson,Omari Akhmedov
"5' 7""",135 lbs.,Richie Santiago,Miles Johns
"6' 0""",155 lbs.,Pat Audinwood,John Makdessi
"5' 8""",145 lbs.,Nik Lentz,Movsar Evloev
"6' 1""",145 lbs.,Cole Miller,Mizuto Hirota
"5' 11""",145 lbs.,Mike de la Torre,Myles Jury
"5' 6""",135 lbs.,John Castaneda,Miles Johns
"5' 10""",145 lbs.,Leonard Garcia,Cody McKenzie
"5' 9""",155 lbs.,Genaro Valdez,Matt Frevola
"5' 10""",155 lbs.,Desmond Green,Charles Jourdain
"5' 6""",145 lbs.,Chad Mendes,Alexander Volkanovski
"5' 11""",185 lbs.,Shonte Barnes,Joseph Holmes
"6' 4""",185 lbs.,Joseph Holmes,Alen Amedovski
"5' 6""",125 lbs.,Daniel Barez,Carlos Hernandez
"6' 2""",170 lbs.,Shimon Smotritsky,Mike Malott
"5' 8""",125 lbs.,Carlos Hernandez,Victor Altamirano
"5' 10""",155 lbs.,Greg McIntyre,Alex Karalexis
"6' 1""",170 lbs.,Mike Malott,Mickey Gall
"5' 5""",135 lbs.,Damian Stasiak,Pingyuan Liu
"5' 6""",145 lbs.,John Franchi,Cub Swanson
"5' 9""",145 lbs.,Jim Alers,Jason Knight
"5' 9""",155 lbs.,Junie Browning,Cole Miller
"5' 6""",155 lbs.,Andy Wang,Cole Miller
"March 01, 2009","Corpus Christi, Texas, USA",Mike Brown,Leonard Garcia
"6' 1""",155 lbs.,Michael McBride,Scott Holtzman
"5' 9""",155 lbs.,David Teymur,Charles Oliveira
"5' 8""",135 lbs.,Cheyden Leialoha,John Castaneda
"5' 8""",155 lbs.,Allen Berube,Leonard Garcia
"5' 9""",145 lbs.,Tiago dos Santos e Silva,Shane Burgos
"5' 7""",145 lbs.,Anthony Morrison,Chad Mendes
"5' 11""",135 lbs.,Kevin Croom,Alatengheili
"5' 10""",185 lbs.,Alen Amedovski,Joseph Holmes
"August 02, 2022","Las Vegas, Nevada, USA",Charlie Campbell,Chris Duncan
"5' 7""",125 lbs.,Ode Osbourne,Zarrukh Adashev
"5' 8""",135 lbs.,Umar Nurmagomedov,Nate Maness
"5' 9""",135 lbs.,Mario Bautista,Brian Kelleher
"5' 10""",145 lbs.,Alan Omer,Arnold Allen
"5' 8""",135 lbs.,Filip Pejic,Damian Stasiak
"5' 7""",155 lbs.,David Kaplan,George Roop
"5' 3""",115 lbs.,Jamie Colleen,Maycee Barber
"5' 5""",125 lbs.,Jenel Lausa,Yuta Sasaki
"5' 5""",125 lbs.,Maycee Barber,Jessica Eye
"6' 1""",155 lbs.,Martin Svensson,David Teymur
"5' 7""",135 lbs.,Marcos Galvao,Damacio Page
"5' 10""",155 lbs.,Akbarh Arreola,Jake Matthews
"5' 9""",145 lbs.,Chris Mickle,Jose Aldo
"5' 10""",155 lbs.,Leonardo Mafra,Stevie Ray
"6' 0""",155 lbs.,Jason Novelli,Marco Polo Reyes
"5' 11""",155 lbs.,Kajan Johnson,Rustam Khabilov
"5' 10""",155 lbs.,Joe Lauzon,Jonathan Pearce
"5' 3""",115 lbs.,Tiffany Masters,Jamie Colleen
"5' 7""",135 lbs.,Trevin Jones,Javid Basharat
"5' 5""",125 lbs.,Bibulatov Magomed,Rogerio Bontorin
"6' 0""",155 lbs.,Jessin Ayari,Luigi Vendramini
"6' 2""",235 lbs.,Bo Cantrell,Kevin Ferguson
"6' 2""",235 lbs.,Kevin Ferguson,Matt Mitrione
"5' 10""",155 lbs.,Michael Johnson,Jamie Mullarkey
"6' 4""",264 lbs.,Antonio Silva,Roy Nelson
"5' 11""",155 lbs.,Brandon Melendez,Joe Lauzon
"5' 6""",155 lbs.,Davi Ramos,Arman Tsarukyan
"5' 10""",155 lbs.,KJ Noons,Joshua Burkman
"6' 2""",170 lbs.,Ben Saunders,Matt Brown
"6' 1""",170 lbs.,Nick Diaz,Robbie Lawler
"6' 4""",225 lbs.,Jesse Fujarczyk,Cain Velasquez
"6' 2""",170 lbs.,James Krause,Claudio Silva
"5' 9""",135 lbs.,Javid Basharat,Trevin Jones
"6' 1""",225 lbs.,Carlton Jones,Mike Cook
"6' 1""",205 lbs.,Mike Cook,Scott Lighty
"5' 5""",155 lbs.,Philip Perez,Brandon Shuey
"5' 7""",155 lbs.,Brandon Shuey,Philip Perez
"6' 1""",240 lbs.,Cain Velasquez,Francis Ngannou
"6' 0""",170 lbs.,Eric Wray,Jason Von Flue
"5' 8""",170 lbs.,Steve Hadsel,Taylor Roberts
"5' 9""",170 lbs.,Dan Barrera,Ben Saunders
"6' 0""",170 lbs.,Ryan Thomas,Matt Brown
"5' 7""",145 lbs.,Casey Olson,Chris Culley
"5' 8""",135 lbs.,Oron Kahlon,Javid Basharat
"6' 0""",155 lbs.,Valmir Lazaro,Michel Prazeres
"5' 9""",155 lbs.,John Gunther,Davi Ramos
"5' 9""",168 lbs.,Katsuya Inoue,Nick Diaz
"5' 9""",155 lbs.,Len Bentley,Marques Daniels
"5' 10""",170 lbs.,Tom Gallicchio,James Krause
"July 27, 2007","Santa Ynez, California, USA",KJ Noons,Edson Berto
--,155 lbs.,Marques Daniels,Len Bentley
"5' 10""",185 lbs.,George Stork,Landon Showalter
"December 16, 2006","Saint Petersburg, Russia",Cain Velasquez,Jeremiah Constant
"6' 0""",185 lbs.,Landon Showalter,George Stork
"6' 1""",240 lbs.,Jeremiah Constant,Cain Velasquez
"5' 10""",155 lbs.,Lyle Beerbohm,Shinya Aoki
"5' 11""",205 lbs.,Justin Davis,Dennis Hallman
"5' 0""",185 lbs.,Cory Devela,Bobby Voelker
"5' 10""",155 lbs.,Conor Heun,Ryan Couture
"6' 1""",170 lbs.,Nick Thompson,Tim Kennedy
"5' 7""",155 lbs.,Jorge Gurgel,Adriano Martins
"5' 11""",185 lbs.,Tim Kennedy,Kelvin Gastelum
"5' 10""",170 lbs.,Evangelista Santos,Jordan Mein
"5' 10""",155 lbs.,Justin Edwards,Joe Proctor
"5' 6""",135 lbs.,Irwin Rivera,Andre Ewell
"5' 7""",155 lbs.,Allan Zuniga,John Gunther
"5' 7""",145 lbs.,Todd Lally,Jeff Curran
"5' 9""",145 lbs.,Stephen Ledbetter,Jeff Curran
"5' 6""",170 lbs.,Matt Serra,Chris Lytle
"November 23, 2002","Las Vegas, Nevada, USA",Frank Trigg,Dennis Hallman
"December 12, 2007","Las Vegas, Nevada, USA",Urijah Faber,Jeff Curran
"5' 7""",135 lbs.,Johnny Eduardo,Alejandro Perez
"5' 6""",145 lbs.,Mike Brown,Steven Siler
"June 01, 2008","Sacramento, California, USA",Urijah Faber,Jens Pulver
"5' 6""",139 lbs.,Hiroyuki Takaya,Georgi Karakhanyan
"November 07, 2009","Hoffman Estates, Illinois, USA",Fedor Emelianenko,Brett Rogers
"5' 9""",145 lbs.,Cole Province,Mike Brown
"6' 1""",205 lbs.,Ricardo Barros,Mark Munoz
"5' 6""",145 lbs.,Diego Nunes,Nik Lentz
"5' 8""",155 lbs.,Alex Karalexis,Anthony Pettis
--,205 lbs.,Mack Brewer,Tim Kennedy
"5' 10""",170 lbs.,Justin Haskins,Mike Pierce
"October 18, 2002","Lemoore, California, USA",Tim Kennedy,Mack Brewer
"5' 8""",155 lbs.,Kelly Dullanty,Matt Serra
"6' 0""",185 lbs.,Mark Munoz,Luke Barnatt
"5' 9""",185 lbs.,Johny Hendricks,Paulo Costa
"5' 8""",135 lbs.,Will Ribeiro,Brian Bowles
"5' 5""",135 lbs.,Manny Tapia,Eddie Wineland
"5' 7""",135 lbs.,Brian Bowles,George Roop
"5' 9""",145 lbs.,Rafael Dias,Diego Nunes
"5' 7""",145 lbs.,Alexandre Franca Nogueira,Jose Aldo
"5' 9""",135 lbs.,Akitoshi Tamura,Charlie Valencia
"5' 11""",170 lbs.,Jonatas Novaes,Christian Uflacker
"5' 7""",139 lbs.,Jong Won Kim,Hiroyuki Takaya
"5' 6""",135 lbs.,Ivan Lopez,Dominick Cruz
"5' 11""",170 lbs.,Christian Uflacker,Jonatas Novaes
"5' 8""",145 lbs.,Georgi Karakhanyan,Hiroyuki Takaya
"6' 0""",170 lbs.,Josh Rafferty,Alex Karalexis
"6' 0""",155 lbs.,Josh Smith,Alex Karalexis
"6' 6""",205 lbs.,Chuck Grigsby,Mark Munoz
"5' 9""",155 lbs.,Genki Sudo,Mike Brown
"5' 8""",143 lbs.,Gary Quan,Gilbert Melendez
"5' 10""",155 lbs.,Shane Roller,Jacob Volkmann
"5' 9""",170 lbs.,Benson Henderson,Jorge Masvidal
--,145 lbs.,Alex Zuniga,Bryan Caraway
"5' 4""",135 lbs.,Norifumi Yamamoto,Roman Salazar
"January 10, 2010","Sacramento, California, USA",Benson Henderson,Jamie Varner
"5' 6""",145 lbs.,Fredson Paixao,Pablo Garza
"5' 8""",145 lbs.,Mark Hominick,Pablo Garza
--,185 lbs.,Hunter Worsham,Zach Underwood
"5' 7""",135 lbs.,Aljamain Sterling,Petr Yan
"5' 9""",145 lbs.,Dustin Neace,Bryan Caraway
"6' 2""",185 lbs.,Zach Underwood,Hunter Worsham
"6' 4""",235 lbs.,Josh Shockman,Cale Yarbrough
"5' 11""",185 lbs.,Tim Stout,Jason Miller
"6' 1""",185 lbs.,Cale Yarbrough,Josh Shockman
"6' 1""",185 lbs.,Jason Miller,CB Dollaway
"6' 0""",170 lbs.,Andy Uhrich,Dustin West
"5' 11""",170 lbs.,Dustin West,Daniel Schmitt
"6' 1""",205 lbs.,Chris Hawk,Ovince Saint Preux
"5' 7""",155 lbs.,Leigh Remedios,Genki Sudo
"6' 0""",205 lbs.,Muhammed Lawal,Lorenz Larkin
"5' 6""",135 lbs.,Clint Godfrey,Michael McDonald
"6' 2""",185 lbs.,Gegard Mousasi,Chris Weidman
"5' 7""",135 lbs.,Masanori Kanehara,Michael McDonald
"5' 8""",145 lbs.,Ernest Chavez,Zubaira Tukhugov
"5' 11""",185 lbs.,Dan Henderson,Michael Bisping
"5' 8""",135 lbs.,Jerrod Sanders,Felipe Arantes
"March 06, 2010","Columbus, Ohio, USA",Dominick Cruz,Brian Bowles
"6' 0""",170 lbs.,Jake Shields,Hector Lombard
"August 09, 2009","Las Vegas, Nevada, USA",Brian Bowles,Miguel Torres
"5' 9""",135 lbs.,Miguel Torres,Michael McDonald
"5' 6""",145 lbs.,Wagnney Fabiano,Joseph Benavidez
"5' 5""",125 lbs.,Yasuhiro Urushitani,John Lineker
"5' 8""",145 lbs.,Ian Loveland,Yves Jabouin
"November 11, 2010","Las Vegas, Nevada, USA",Urijah Faber,Takeya Mizugaki
"5' 8""",145 lbs.,Mark Striegl,Chas Skelly
"5' 6""",125 lbs.,Askar Askarov,Kai Kara-France
--,185 lbs.,Daniel Schmitt,Dustin West
"6' 1""",205 lbs.,Yukiya Naito,Muhammed Lawal
"January 04, 2009","Saitama, Japan",Muhammed Lawal,Yukiya Naito
"5' 10""",185 lbs.,Tsuyoshi Kurihara,Gegard Mousasi
"March 20, 2009","Tokyo, Japan",Muhammed Lawal,Ryo Kawamura
"December 02, 2005","Tokyo, Japan",Gegard Mousasi,Tsuyoshi Kurihara
"6' 0""",185 lbs.,Damir Mirenic,Gegard Mousasi
"October 19, 2007","Calgary, Alberta, Canada",Gegard Mousasi,Damir Mirenic
--,--,Eric Smith,Dan Henderson
"June 15, 1997",Brazil,Dan Henderson,Crezio de Souza
"5' 11""",170 lbs.,Ray Steinbeiss,Jake Shields
"February 18, 2007",Costa Rica,Jake Shields,Ray Steinbeiss
"March 02, 2008","Almere, Flevoland, Netherlands",Gegard Mousasi,Steve Mensing
--,170 lbs.,Crezio de Souza,Dan Henderson
"5' 7""",135 lbs.,Nick Pace,Miguel Torres
"5' 11""",185 lbs.,Steve Mensing,Gegard Mousasi
"6' 0""",185 lbs.,Daniel Kelly,Tom Breese
"5' 6""",125 lbs.,Ashkan Mokhtarian,Ryan Benoit
"5' 11""",205 lbs.,Ryo Kawamura,Muhammed Lawal
"5' 5""",135 lbs.,Alatengheili,Kevin Croom
"5' 8""",135 lbs.,Erik Perez,Felipe Arantes
"5' 9""",145 lbs.,Yaotzin Meza,Arnold Allen
"5' 5""",125 lbs.,Zarrukh Adashev,Ode Osbourne
"6' 5""",265 lbs.,Rex Richards,Ray Seraille
"6' 0""",170 lbs.,Jason Von Flue,Luke Stewart
--,170 lbs.,Aaron Wetherspoon,Mike Pyle
"5' 8""",185 lbs.,Nikk Covert,Nik Theotikos
"5' 10""",155 lbs.,Victor Valenzuela,Edson Berto
"5' 6""",155 lbs.,Edson Berto,Yves Edwards
"6' 0""",185 lbs.,Joey Villasenor,Jacare Souza
"5' 6""",155 lbs.,Nick Gonzalez,David Douglas
"6' 1""",265 lbs.,Carter Williams,Paul Buentello
"5' 10""",170 lbs.,Duane Ludwig,Che Mills
"5' 10""",185 lbs.,Frank Shamrock,Nick Diaz
"5' 11""",185 lbs.,Murilo Rua,Riki Fukuda
"5' 11""",185 lbs.,Patrick Walsh,Daniel Kelly
"6' 0""",185 lbs.,Tony Fryklund,Cung Le
--,155 lbs.,Sean Bassett,David Smith
"5' 11""",185 lbs.,Randall Wallace,Charles Byrd
"5' 9""",170 lbs.,Paul Daley,Kazuo Misaki
"5' 8""",135 lbs.,Byron Bloodworth,Erik Perez
"August 15, 2017","Las Vegas, Nevada, USA",Charles Byrd,Randall Wallace
"5' 10""",185 lbs.,Maki Pitolo,Dusko Todorovic
"5' 7""",125 lbs.,Tyson Nam,Matt Schnell
"5' 11""",185 lbs.,John Phillips,Junyong Park
"5' 10""",170 lbs.,Mario Rivera,Juan Alcain
"5' 7""",135 lbs.,Matthew Lopez,Brad Katona
--,--,Juan Alcain,Mario Rivera
"5' 6""",125 lbs.,Alvin Cacdac,Jose Palacios
"5' 7""",155 lbs.,Bobby Sanchez,Alvin Cacdac
"6' 4""",205 lbs.,Daniel Spohn,Angel De Anda
--,155 lbs.,David Smith,Sean Bassett
"5' 11""",135 lbs.,Cole Smith,Hunter Azure
--,185 lbs.,Andrew Montanez,David Smith
"5' 10""",185 lbs.,Rodrigo Ruas,Tony Fryklund
"6' 1""",199 lbs.,Igor Zinoviev,Frank Shamrock
"5' 11""",178 lbs.,Donnie Chappell,Tony Fryklund
"5' 11""",199 lbs.,John Lober,Frank Shamrock
"6' 1""",205 lbs.,Cameron Olson,Karl Reed
"6' 1""",185 lbs.,Joey Beltran,Fabio Maldonado
"January 25, 2008","Atlantic City, New Jersey, USA",Paul Daley,Sammy Morgan
"6' 3""",205 lbs.,Karl Reed,Julius Anglickas
"5' 10""",145 lbs.,Adrian Diaz,Grant Dawson
--,--,Aurelijus Kerpe,Paul Daley
"March 29, 2009","Nottingham, England, United Kingdom",Paul Daley,Aurelijus Kerpe
"5' 10""",170 lbs.,Junior Barata,Paul Daley
"April 18, 2009","Ljubljana, Slovenia",Paul Daley,Junior Barata
"5' 6""",135 lbs.,Brad Katona,Hunter Azure
--,--,Yohan Banks,Michael Diaz
"5' 9""",225 lbs.,Angel De Anda,Daniel Spohn
--,--,Devin Johnson,Nik Theotikos
"5' 10""",155 lbs.,Isaiah Hill,Bobby Stack
"July 18, 2017","Las Vegas, Nevada, USA",Daniel Spohn,Angel De Anda
"5' 8""",155 lbs.,Billy Evangelista,KJ Noons
"5' 8""",145 lbs.,Elaina Maxwell,Miesha Tate
--,145 lbs.,Michelle Maher,Elaina Maxwell
--,185 lbs.,Nik Theotikos,Luke Rockhold
"6' 4""",242 lbs.,Rolles Gracie,Joey Beltran
--,--,Miguel Linares,Anthony Figueroa
"6' 3""",205 lbs.,Julius Anglickas,Karl Reed
"5' 6""",135 lbs.,Sergey Morozov,Raulian Paiva
"5' 9""",145 lbs.,Jose Palacios,Alvin Cacdac
"5' 8""",135 lbs.,Saidyokub Kakhramonov,Ronnie Lawrence
"5' 6""",145 lbs.,Vince Cachero,Ronnie Lawrence
"5' 7""",155 lbs.,Jay Cucciniello,Brad Katona
"6' 0""",135 lbs.,Jose Johnson,Ronnie Lawrence
"5' 7""",125 lbs.,CJ Hamilton,Casey Kenney
"5' 5""",125 lbs.,Jose Maria,Dustin Ortiz
"5' 4""",--,Justin Pennington,Dustin Ortiz
"January 07, 2011","Nashville, Tennessee, USA",Tyron Woodley,Tarec Saffiedine
"6' 1""",170 lbs.,Michael Cora,Sidney Outlaw
"5' 4""",125 lbs.,Matt Horning,Dustin Ortiz
"5' 8""",170 lbs.,Sidney Outlaw,Michael Cora
"5' 9""",145 lbs.,Thanh Le,Lazar Stojadinovic
"5' 8""",125 lbs.,Willie Gates,Yuta Sasaki
"5' 10""",145 lbs.,Jameel Massouh,Erik Koch
"5' 8""",135 lbs.,Alfred Khashakyan,Sean O'Malley
"5' 10""",135 lbs.,Courtney Buck,Fredson Paixao
"5' 10""",170 lbs.,Erik Koch,Kyle Stewart
"5' 10""",135 lbs.,John Hosman,Chad George
"5' 7""",145 lbs.,Lazar Stojadinovic,Thanh Le
"5' 6""",135 lbs.,Chad George,Antonio Banuelos
"5' 6""",135 lbs.,Brandon Visher,Yves Jabouin
"5' 10""",155 lbs.,Muhsin Corbbrey,Zachary Micklewright
"6' 0""",155 lbs.,Zachary Micklewright,Dustin Poirier
"5' 10""",--,Gerric Hayes,Stoney Hale
"5' 9""",155 lbs.,Chris Horodecki,Donald Cerrone
"5' 10""",155 lbs.,Anthony Pettis,Alex Morono
"5' 9""",145 lbs.,Bart Palaszewski,Cole Miller
"6' 0""",--,Stoney Hale,Gerric Hayes
--,--,Jason Blackford,Jeremy Boczulak
--,--,Jeremy Boczulak,Jason Blackford
"5' 8""",155 lbs.,Abel Trujillo,John Makdessi
--,--,Karl Willis,Chris Barnhizer
--,--,Chris Barnhizer,Karl Willis
--,--,Josh Jarvis,Luke Sanders
--,--,Charles McTorry,Krishaun Gilmore
--,--,Krishaun Gilmore,Charles McTorry
"6' 1""",155 lbs.,Anthony Njokuani,Daron Cruickshank
"5' 7""",205 lbs.,Rhadi Ferguson,John Richard
"5' 10""",155 lbs.,Ed Ratcliff,Chris Horodecki
--,205 lbs.,John Richard,Rhadi Ferguson
"5' 8""",135 lbs.,Ken Stone,Erik Perez
"5' 8""",135 lbs.,Jared Papazian,Tim Elliott
"6' 1""",251 lbs.,Azunna Anyanwu,Justin Ledet
"5' 10""",145 lbs.,Matt Bessette,Steven Peterson
"5' 11""",155 lbs.,Kurt Holobaugh,Thiago Moises
"June 20, 2010","Edmonton, Alberta, Canada",Jamie Varner,Kamal Shalorus
"5' 5""",135 lbs.,Rafael Rebello,Chris Cariaso
"5' 9""",125 lbs.,Will Campuzano,Justin Scoggins
"5' 5""",125 lbs.,Iliarde Santos,Chris Cariaso
"5' 9""",185 lbs.,Aliaskhab Khizriev,Denis Tiuliulin
"5' 6""",125 lbs.,John Moraga,Deiveson Figueiredo
"5' 7""",135 lbs.,Takeya Mizugaki,Eddie Wineland
"5' 11""",155 lbs.,Cameron Church,Sherrard Blackledge
"5' 6""",125 lbs.,Danny Martinez,Richie Vaculik
"6' 6""",185 lbs.,Khadzhi Bestaev,Phil Hawes
"5' 11""",155 lbs.,Sherrard Blackledge,Tucker Lutz
"5' 8""",205 lbs.,Al Matavao,Tafon Nchukwi
"5' 5""",125 lbs.,Jussier Formiga,Alex Perez
"5' 7""",155 lbs.,Arman Tsarukyan,Mateusz Gamrot
"5' 10""",155 lbs.,Evan Dunham,Herbert Burns
"5' 9""",155 lbs.,Alexander Hernandez,Renato Moicano
"March 24, 2007","Las Vegas, Nevada, USA",Carlos Condit,John Alessio
"June 03, 2007","Las Vegas, Nevada, USA",Urijah Faber,Chance Farrar
"6' 0""",170 lbs.,Erik Apple,Ryan Larson
"5' 10""",170 lbs.,Kevin Knabjian,Brock Larson
"6' 0""",170 lbs.,Jon Fitch,Demian Maia
"6' 1""",185 lbs.,Denis Tiuliulin,Aliaskhab Khizriev
"August 05, 2007","Las Vegas, Nevada, USA",Carlos Condit,Brock Larson
"5' 10""",155 lbs.,John Alessio,Shane Roller
"March 26, 2008","Las Vegas, Nevada, USA",Brian Stann,Doug Marshall
"5' 11""",155 lbs.,Carlo Prater,Marcus LeVesseur
"6' 0""",170 lbs.,Jesse Sanders,Brock Larson
"August 03, 2008","Las Vegas, Nevada, USA",Carlos Condit,Hiromitsu Miura
"5' 7""",135 lbs.,Reuben Duran,George Roop
"5' 8""",170 lbs.,Mike Pierce,Ryan LaFlare
"6' 0""",170 lbs.,Mike Pyle,Zak Ottow
"5' 9""",170 lbs.,Brian Foster,Matt Brown
"5' 6""",135 lbs.,Jason Reinhardt,Edwin Figueroa
"6' 0""",155 lbs.,Danny Downes,Ramsey Nijem
"5' 7""",145 lbs.,Tommy Lee,Cub Swanson
"September 30, 2010","Broomfield, Colorado, USA",Jose Aldo,Manvel Gamburyan
"6' 1""",145 lbs.,Pablo Garza,Diego Brandao
"5' 5""",125 lbs.,Geane Herrera,Ben Nguyen
"5' 10""",125 lbs.,Manny Vazquez,Joby Sanchez
"5' 6""",125 lbs.,Robert Sanchez,Jarred Brooks
"August 22, 2017","Las Vegas, Nevada, USA",Kennedy Nzechukwu,Anton Berzin
"5' 8""",135 lbs.,Kyle Dietz,Brad Pickett
