name,win,loss,tie,weight_lbs,reach_inch,stance,slpm,str_acc,sapm,str_def,tdavg,tdacc,tddef,subavg,w/l_ratio,age,inches
Joe Stevenson,33,16,0,145.0,70.0,Orthodox,2.05,44,2.44,60,2.75,44,39,2.2,0.67,40,67
Viviane Pereira,13,2,0,115.0,63.0,Orthodox,2.7,30,4.48,58,0.25,100,28,0.2,0.87,28,61
Caros Fodor,11,6,0,155.0,74.0,Orthodox,2.76,54,2.83,54,2.1,25,50,0.0,0.65,38,69
Jutaro Nakao,25,19,4,170.0,,Southpaw,0.53,38,1.06,44,0.38,50,56,0.0,0.57,51,69
Nadia Kassem,5,2,0,125.0,66.0,Southpaw,3.13,41,4.48,48,0.46,33,40,2.8,0.71,26,65
Aisling Daly,16,6,0,115.0,64.0,Orthodox,2.92,52,1.4,55,2.15,41,33,0.9,0.73,34,62
Luiz Firmino,19,8,0,154.0,,Orthodox,1.23,50,1.22,51,3.86,45,20,0.9,0.7,40,66
Mitsuhiro Ishida,20,8,1,154.0,,Southpaw,1.46,41,1.13,61,4.76,53,33,0.7,0.71,43,66
Ross Ebanez,20,10,0,154.0,,Southpaw,0.74,50,0.74,62,3.7,100,0,0.0,0.67,47,69
Javier Vazquez,16,5,0,145.0,69.0,Southpaw,2.43,36,1.99,72,2.56,52,57,1.5,0.76,45,67
Valerie Letourneau,8,6,0,115.0,68.0,Orthodox,4.51,37,5.4,58,0.77,45,66,0.3,0.57,39,67
Montana De La Rosa,12,7,1,125.0,68.0,Orthodox,2.6,37,3.19,42,2.08,31,63,1.0,0.63,27,67
Thomas Diagne,6,6,1,154.0,,,4.53,48,4.53,63,2.0,100,66,0.0,0.5,38,73
Ericka Almeida,7,3,0,115.0,,Orthodox,1.07,39,3.33,43,0.5,33,37,0.0,0.7,33,66
Tony DeSouza,11,4,0,170.0,70.0,Southpaw,1.12,52,1.57,41,2.25,42,40,1.5,0.73,48,72
Murilo Bustamante,15,8,1,183.0,,Orthodox,1.33,32,1.9,60,2.46,33,54,1.2,0.65,55,74
Paul Rodriguez,10,9,2,155.0,,Orthodox,0.84,100,1.68,68,0.0,0,50,0.0,0.53,,67
LC Davis,23,8,0,135.0,69.0,Southpaw,2.04,30,2.1,59,2.27,46,66,0.2,0.74,41,68
Derek Getzel,8,5,0,155.0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.62,,72
Elizabeth Phillips,6,6,0,135.0,65.0,Orthodox,2.6,33,3.07,58,0.75,25,53,0.2,0.5,35,66
